Company,ReviewID,Rating,Review_Text
Safeway,1ds90b9394s1g803,4.0,It is a regular cashier experience. You have to provide a lot of customer service. You need to be able to stand for a long period of time but there are 15 minute breaks every two hours of work.
Safeway,1f7pj7ur6o25r800,1.0,If you're not looking to advance within the company then that is just fine. Management always goes on and on about how everyone is replaceable so just do your job and you won't be noticed or bothered. If you're just trying to make some extra money then this is a good place to work.
Safeway,1f7mu1no7n59q800,3.0,"Having worked in a few departments at Safeway, I can say that the environment is a steady on where you don’t get stressed out, but there’s also usually enough going on to not be bored. The pay is fair for what you do, and there are a lot of great coworkers and most of the managers are great too. There are also opportunities for job advancement and increased pay. They can however be very limited with their scheduling flexibility, and sometimes ask you to stay late or come in on short notice."
Safeway,1f7mr7ie7o2h9800,3.0,"Safeway is a reasonable company to work for, the pay benefits and work environment are par for the course when compared to most big box or grocery store chains in the USA. However just as with most other big corporations you will be reliant on your management being proactive and compassionate people if you have any concerns or individual needs that affect your employment."
Safeway,1f7m74e6no20t800,3.0,"It’s an alright job for someone who’s looking for first time job. But don’t expect anything fantastic. Some positions are enjoyable to do, others is not."
Safeway,1f7kl611nu3hk800,1.0,Our store had absolutely abysmal store management. Terrible schedule-makers and awful communication. Everyone hated their lives working here and I was glad to be gone when I quit.
Safeway,1f7jv49sbnq24800,1.0,Management sucks hours are all over the place I wouldn’t work here actually looking for new work. Only good thing is coworkers that aren’t management  it’s just not for someone that is looking for full time work because they will not give you that very stingy with hours but oh wait but they will bug you a lot on your days off to come in and cover a shift honesty my advice is don’t work at grocery business it sucks!!
Safeway,1f7jt74hso14k800,3.0,"Flexible with school schedules. Work part time, get called in at times. Working with customers and other employees all the time. Good for starting to work."
Safeway,1f7irpg1mo20r800,2.0,all the staff and clerks were very kind and welcoming and if they werent they were bearable. the problem is with management as well as lack of hour flexibility and attentiveness which is what they promised during the hiring process. lack of understanding or attention was given to me via management and i was trained poorly in my department and then criticized for not being able to progress even though i essentially taught myself how to do everything on my own. i also notice that they are doing this to other workers as well.
Safeway,1f7i2okdto1nd800,4.0,Safeway is a good starter job as I did for myself.
Safeway,1f7hchm75o1nd800,4.0,"This was a great place to work overall. Fellow courtesy clerks were supportive, friendly, and fun. The day went by quickly because it was always really busy."
Safeway,1f7gfprj9o20r800,3.0,Good place to work.  I enjoyed it the time I was there. Decent management with flexible hours and fun people to work with.  I loved the customers who came in the store.
Safeway,1f7c0cl3po20r800,3.0,Good job for benefits but pay raises don’t happen often been there 4 years and barley got a raise in my 3rd year
Safeway,1f7bth2h0o20r800,4.0,They really appreciate it when you go the extra mile and I love it when you work overtime and any complaints are always willing to listen to your problem and willing to back you when you need to be backed
Safeway,1f79f0q82o20r800,1.0,Been with this company for 18 years and it just keeps going down hill! Managers make a couple dollars above minimum wage. The turn over is insane because of the pay and they like to over hire due to the turnover so you won’t get many hours unless you want to cover people calling in sick daily. You don’t get any benefits unless you stick it out for a year. Training hours over the years have been cut down to nothing and labor hours cut as well. Honestly work anywhere else!
Safeway,1f792fafho1nd800,4.0,Not a bad Job regardless of what others say! My co workers were easy to work with so it made the Job fun to work at ! The store manager was cool & friendly & helpful
Safeway,1f774br7s3obs000,4.0,"I was a courtesy clerk, it was my first job, and it was a good first job. Typical day at work you sweep, clean bathrooms, take out trash, bag groceries, get carts, help customers."
Safeway,1f75cf4kf31ha000,1.0,"Management has no idea how to manage, and just hang out in the back room or outside smoking. Coworkers are lazy and have no clue how to do their job even when you help/explain to them how to do their job and think your being mean. If you don’t hang out and chit chat with management/coworkers they view you as being mean and try to get you fired."
Safeway,1f75carato1dh800,1.0,"Work anywhere else!! Horrible management and poor work ethic is rewarded as long as you kiss a**. Signed on as full time employee, 36-40 hours/ week, only scheduled for under 20 every week. I was constantly told that the store was over staffed and got sent home. Why how more people is your over staffed to begin with?? Don't waste your time or energy."
Safeway,1f70jtl3lo1dh800,5.0,I have worked for Safeway twice. Once in 2016 and again  in 2020. Once as an asst mngr in produce and the second time as a cashier. Both times I enjoyed my time there. It was just bad timing. The first time I had to move out if state. The second time I got a much better paying job and had no choice but to take it.  But I'd go back again one day if they'll let me
Safeway,1f70i0bvbs9vq800,3.0,"I like customer service, but the pay and responsibilities don’t match up. You have to pay union dues even if you don’t want to be apart of the union. The late and early scheduling is hard."
Safeway,1ds90b9394s1g803,4.0,It is a regular cashier experience. You have to provide a lot of customer service. You need to be able to stand for a long period of time but there are 15 minute breaks every two hours of work.
Safeway,1f6t7n45bo1dh800,2.0,"A typical day as a courtesy clerk would look fine if it weren't for the ridiculous need for us to clock in every time we sweep the store. If anything, having to clock in made it more likely for me to sweep less than more, as the literal clocking in process took more energy overall than the sweep of the store did. I also managed to learn just about nothing while working there."
Safeway,1f6s3pcmos9vq800,5.0,"This job was a slog honestly, but for a first time job, it was alright. I only signed up to be a deli clerk, as in only work the counter. I ended up working fryers as well which I hated. I had early morning shifts or closing shifts, I hated it. What made the job awesome were the people, not the job itself. For those on the East Coast, Safeway is a Publix equivalent."
Safeway,1f6q5jrqno1dh800,4.0,"Days are pretty repetitive but that's what you get when you work in a grocery store. I liked my management but some of the co-workers can be obnoxious because it is a minimum wage job,"
Safeway,1f6nknve7hijp800,2.0,The department managers were cool but this job was not satisfying at all. The pay was poor this is a job for someone who’s really young or someone who’s really old. Even working for many years you don’t get a raise and your hours always change one week you barely work hours the next week you work a decent amount
Safeway,1f6lnck49o26r800,3.0,"I wouldn’t necessarily recommend the job, but it’s not horrible. The pay isn’t great but the job is simple and most the people that work there are nice."
Safeway,1f6gcrs5jt4nb800,3.0,"I only worked there for a couple of weeks due to a death and family responsibilities conflicting with the schedule, I told the manager about my situation and was trying to see if they could change the schedule to make it more flexible or have me come back when the situation would be solved but they seemed mad and just accepted the resignation, making that my last day. Other than that, the people I worked with were pretty cool and chill, and it was hard work but it was somewhat enjoyable."
Safeway,1f6dajecho21m800,1.0,Will never shop in a Safeway. Horrible treatment of employees. Had 3 different store managers in one calendar year. All treated you the same oppressing rules and guidelines and attitude.
Safeway,1f6b3pj0oo21m800,3.0,fine place to work when you need a job. experience definitely depends on the location and store you work at. different departments within company to try out.
Safeway,1f683ssvmo1gm800,1.0,"Lousy work environment, scheming employees. Work itself was ok but the expectation of a  day of work was too much. i recommend finding another employer before settling here..."
Safeway,1f67tgrpeo21m800,4.0,"I love retail, just hate the hours.  Safeway is a great place to start a career in retail.  They have many opportunities to grow within Safeway and will also pay for education."
Safeway,1f65td8s2u3a7800,1.0,"Work hard, get yelled at, work hard some more. Make sure you like working holidays and terrible hours. You will be paid BELOW minimum wage for the first month."
Safeway,1f65krldio1gm800,4.0,"Not bad for a first job, customers can be annoying sometimes. If you are looking for a reliable job, Safeway is the place to go! I would recommend this job to anyone willing to put in the work."
Safeway,1f64etbiso1gm800,3.0,"This was my first job and it’s a great place to start. But you do way more than advertised. A courtesy clerk does the basic things like bag groceries, get carts, and do carry outs. I didn’t know that I would practically be running the store. You can get overwhelmed very quickly with the 10 million tasks they ask you to do in your short shift and management never communicates, so one person will tell you to do one thing and then another will tell you the opposite, this can lead to you getting in trouble or looking bad. Customers are usually elderly people or middle aged women and it’s a 50/50 chance they’ll give you attitude and yell at you or praise you and be kind. The liquor cabinet was a terrible experience and the main reason i quit, too many old men being creepy to an underaged girl. People who shop at Safeway tend to feel entiltled and are usually very lazy people, so they act like you’re some robot programmed to work there with no feelings and demand you do things for you rather than talk to you normally. I will say the employee discount is nice and my coworkers were enjoyable."
Safeway,1f646ru0knpfv800,4.0,The work itself is very easy especially if you're a people person. If the opportunity arises take the chance to work in other departments to see what you like.
Safeway,1f63jgm8pnpr0800,2.0,Constant nights of stocking with a under staffed group of people. Just make this temporary don't think a career will make out of this. Safeway was dreadful to say the least.
Safeway,1f627gkvvnpfv800,1.0,"Management was terrible at every level. I had the workload of three people, but was barely paid well enough for one. My coworkers while nice were not to be trusted as sucking up to the boss at every opportunity is the only way to keep your job no matter how good at it (the work) you are."
Safeway,1f61j6qd6o1mh800,1.0,"Don’t recommend. Quit only after a month, manager had unrealistic expectations and just a bad attitude. It was a very toxic and stressful work environment. Barely had any training days before being pushed on my own then ridiculed for not knowing how to do certain things when I was never showed or only showed once."
Safeway,1f60o2npau1bv800,3.0,I enjoyed my time with safeway. It was fun. Being crossed trained made the job interesting. Never a dull moment. Its not always the same. If you have a problem with a rude cutomer or employee they address it immediately. I feel that the hardest part of the job is the rude customers. You still have to be polite and not lose control of your attitude.
Safeway,1f60dt3q7hiin800,2.0,There's some great people who work her however communication is terrible. Favoritism and negativity is a huge problem here. There is a sense of never being good enough you're asked to preform one way and then the next week the way you are working is not the right way and that's because the communication of the never ending change happens
Safeway,1f5ucegcoo1kn800,4.0,"A typical work day consisted of bagging groceries, sweeping store, pushing carts, and shelfing maintenance. Our location had 1 hour blocks for each of the 4 tasks listed above. Very stress-free job with tons of customer interaction."
Safeway,1ds90b9394s1g803,4.0,It is a regular cashier experience. You have to provide a lot of customer service. You need to be able to stand for a long period of time but there are 15 minute breaks every two hours of work.
